,Image diagonal [pixels],Image size [pixels],Target image,Source image,Target landmarks,Source landmarks
14,32985.8,"(17709, 27829)",lung-lesion_2/scale-100pc/29-041-Izd2-w35-Cc10-5-les2.png,lung-lesion_2/scale-100pc/29-041-Izd2-w35-He-les2.png,lung-lesion_2/scale-100pc/29-041-Izd2-w35-Cc10-5-les2.csv,lung-lesion_2/scale-100pc/29-041-Izd2-w35-He-les2.csv
15,32985.8,"(17709, 27829)",lung-lesion_2/scale-100pc/29-041-Izd2-w35-Cc10-5-les2.png,lung-lesion_2/scale-100pc/29-041-Izd2-w35-Ki67-7-les2.png,lung-lesion_2/scale-100pc/29-041-Izd2-w35-Cc10-5-les2.csv,lung-lesion_2/scale-100pc/29-041-Izd2-w35-Ki67-7-les2.csv
16,32985.8,"(17709, 27829)",lung-lesion_2/scale-100pc/29-041-Izd2-w35-Cc10-5-les2.png,lung-lesion_2/scale-100pc/29-041-Izd2-w35-proSPC-4-les2.png,lung-lesion_2/scale-100pc/29-041-Izd2-w35-Cc10-5-les2.csv,lung-lesion_2/scale-100pc/29-041-Izd2-w35-proSPC-4-les2.csv
17,33013.1,"(17719, 27855)",lung-lesion_2/scale-100pc/29-041-Izd2-w35-He-les2.png,lung-lesion_2/scale-100pc/29-041-Izd2-w35-Ki67-7-les2.png,lung-lesion_2/scale-100pc/29-041-Izd2-w35-He-les2.csv,lung-lesion_2/scale-100pc/29-041-Izd2-w35-Ki67-7-les2.csv
18,33013.1,"(17719, 27855)",lung-lesion_2/scale-100pc/29-041-Izd2-w35-He-les2.png,lung-lesion_2/scale-100pc/29-041-Izd2-w35-proSPC-4-les2.png,lung-lesion_2/scale-100pc/29-041-Izd2-w35-He-les2.csv,lung-lesion_2/scale-100pc/29-041-Izd2-w35-proSPC-4-les2.csv
19,32979.8,"(17712, 27820)",lung-lesion_2/scale-100pc/29-041-Izd2-w35-Ki67-7-les2.png,lung-lesion_2/scale-100pc/29-041-Izd2-w35-proSPC-4-les2.png,lung-lesion_2/scale-100pc/29-041-Izd2-w35-Ki67-7-les2.csv,lung-lesion_2/scale-100pc/29-041-Izd2-w35-proSPC-4-les2.csv
20,22360.1,"(13317, 17962)",lung-lesion_3/scale-100pc/29-041-Izd2-w35-CD31-3-les3.png,lung-lesion_3/scale-100pc/29-041-Izd2-w35-Cc10-5-les3.png,lung-lesion_3/scale-100pc/29-041-Izd2-w35-CD31-3-les3.csv,lung-lesion_3/scale-100pc/29-041-Izd2-w35-Cc10-5-les3.csv
21,22360.1,"(13317, 17962)",lung-lesion_3/scale-100pc/29-041-Izd2-w35-CD31-3-les3.png,lung-lesion_3/scale-100pc/29-041-Izd2-w35-He-les3.png,lung-lesion_3/scale-100pc/29-041-Izd2-w35-CD31-3-les3.csv,lung-lesion_3/scale-100pc/29-041-Izd2-w35-He-les3.csv
22,22360.1,"(13317, 17962)",lung-lesion_3/scale-100pc/29-041-Izd2-w35-CD31-3-les3.png,lung-lesion_3/scale-100pc/29-041-Izd2-w35-Ki67-7-les3.png,lung-lesion_3/scale-100pc/29-041-Izd2-w35-CD31-3-les3.csv,lung-lesion_3/scale-100pc/29-041-Izd2-w35-Ki67-7-les3.csv
23,22360.1,"(13317, 17962)",lung-lesion_3/scale-100pc/29-041-Izd2-w35-CD31-3-les3.png,lung-lesion_3/scale-100pc/29-041-Izd2-w35-proSPC-4-les3.png,lung-lesion_3/scale-100pc/29-041-Izd2-w35-CD31-3-les3.csv,lung-lesion_3/scale-100pc/29-041-Izd2-w35-proSPC-4-les3.csv
24,22310.6,"(13281, 17927)",lung-lesion_3/scale-100pc/29-041-Izd2-w35-Cc10-5-les3.png,lung-lesion_3/scale-100pc/29-041-Izd2-w35-He-les3.png,lung-lesion_3/scale-100pc/29-041-Izd2-w35-Cc10-5-les3.csv,lung-lesion_3/scale-100pc/29-041-Izd2-w35-He-les3.csv
25,22310.6,"(13281, 17927)",lung-lesion_3/scale-100pc/29-041-Izd2-w35-Cc10-5-les3.png,lung-lesion_3/scale-100pc/29-041-Izd2-w35-Ki67-7-les3.png,lung-lesion_3/scale-100pc/29-041-Izd2-w35-Cc10-5-les3.csv,lung-lesion_3/scale-100pc/29-041-Izd2-w35-Ki67-7-les3.csv
26,22310.6,"(13281, 17927)",lung-lesion_3/scale-100pc/29-041-Izd2-w35-Cc10-5-les3.png,lung-lesion_3/scale-100pc/29-041-Izd2-w35-proSPC-4-les3.png,lung-lesion_3/scale-100pc/29-041-Izd2-w35-Cc10-5-les3.csv,lung-lesion_3/scale-100pc/29-041-Izd2-w35-proSPC-4-les3.csv
27,22338.3,"(13314, 17937)",lung-lesion_3/scale-100pc/29-041-Izd2-w35-He-les3.png,lung-lesion_3/scale-100pc/29-041-Izd2-w35-Ki67-7-les3.png,lung-lesion_3/scale-100pc/29-041-Izd2-w35-He-les3.csv,lung-lesion_3/scale-100pc/29-041-Izd2-w35-Ki67-7-les3.csv
28,22338.3,"(13314, 17937)",lung-lesion_3/scale-100pc/29-041-Izd2-w35-He-les3.png,lung-lesion_3/scale-100pc/29-041-Izd2-w35-proSPC-4-les3.png,lung-lesion_3/scale-100pc/29-041-Izd2-w35-He-les3.csv,lung-lesion_3/scale-100pc/29-041-Izd2-w35-proSPC-4-les3.csv
29,22321.5,"(13302, 17925)",lung-lesion_3/scale-100pc/29-041-Izd2-w35-Ki67-7-les3.png,lung-lesion_3/scale-100pc/29-041-Izd2-w35-proSPC-4-les3.png,lung-lesion_3/scale-100pc/29-041-Izd2-w35-Ki67-7-les3.csv,lung-lesion_3/scale-100pc/29-041-Izd2-w35-proSPC-4-les3.csv
30,13546.8,"(11692, 6842)",lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-1-HE.png,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-2-cd31.png,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-1-HE.csv,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-2-cd31.csv
31,13546.8,"(11692, 6842)",lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-1-HE.png,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-3-Pro-SPC.png,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-1-HE.csv,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-3-Pro-SPC.csv
32,13546.8,"(11692, 6842)",lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-1-HE.png,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-4-cc10.png,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-1-HE.csv,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-4-cc10.csv
33,13546.8,"(11692, 6842)",lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-1-HE.png,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-6-ki67.png,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-1-HE.csv,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-6-ki67.csv
34,10895.6,"(9631, 5095)",lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-2-cd31.png,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-3-Pro-SPC.png,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-2-cd31.csv,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-3-Pro-SPC.csv
35,10895.6,"(9631, 5095)",lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-2-cd31.png,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-4-cc10.png,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-2-cd31.csv,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-4-cc10.csv
36,10895.6,"(9631, 5095)",lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-2-cd31.png,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-6-ki67.png,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-2-cd31.csv,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-6-ki67.csv
37,11137,"(9776, 5335)",lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-3-Pro-SPC.png,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-4-cc10.png,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-3-Pro-SPC.csv,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-4-cc10.csv
38,11137,"(9776, 5335)",lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-3-Pro-SPC.png,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-6-ki67.png,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-3-Pro-SPC.csv,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-6-ki67.csv
39,11555.2,"(10047, 5708)",lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-4-cc10.png,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-6-ki67.png,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-4-cc10.csv,lung-lobes_1/scale-100pc/29-039-U-35W-Izd1-6-ki67.csv
40,13701.5,"(12000, 6613)",lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-1-HE.png,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-2-cd31.png,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-1-HE.csv,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-2-cd31.csv
41,13701.5,"(12000, 6613)",lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-1-HE.png,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-3-Pro-SPC.png,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-1-HE.csv,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-3-Pro-SPC.csv
42,13701.5,"(12000, 6613)",lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-1-HE.png,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-4-cc10.png,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-1-HE.csv,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-4-cc10.csv
43,13701.5,"(12000, 6613)",lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-1-HE.png,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-6-ki67.png,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-1-HE.csv,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-6-ki67.csv
44,13035.2,"(11375, 6366)",lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-2-cd31.png,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-3-Pro-SPC.png,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-2-cd31.csv,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-3-Pro-SPC.csv
45,13035.2,"(11375, 6366)",lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-2-cd31.png,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-4-cc10.png,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-2-cd31.csv,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-4-cc10.csv
46,13035.2,"(11375, 6366)",lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-2-cd31.png,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-6-ki67.png,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-2-cd31.csv,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-6-ki67.csv
47,13190.4,"(11432, 6580)",lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-3-Pro-SPC.png,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-4-cc10.png,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-3-Pro-SPC.csv,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-4-cc10.csv
48,13190.4,"(11432, 6580)",lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-3-Pro-SPC.png,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-6-ki67.png,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-3-Pro-SPC.csv,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-6-ki67.csv
49,13305.5,"(11905, 5942)",lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-4-cc10.png,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-6-ki67.png,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-4-cc10.csv,lung-lobes_2/scale-100pc/29-039-U-35W-Izd2-6-ki67.csv
50,12378,"(10987, 5701)",lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-1-HE.png,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-2-cd31.png,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-1-HE.csv,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-2-cd31.csv
51,12378,"(10987, 5701)",lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-1-HE.png,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-3-Pro-SPC.png,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-1-HE.csv,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-3-Pro-SPC.csv
52,12378,"(10987, 5701)",lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-1-HE.png,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-4-cc10.png,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-1-HE.csv,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-4-cc10.csv
53,12378,"(10987, 5701)",lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-1-HE.png,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-6-ki67.png,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-1-HE.csv,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-6-ki67.csv
54,12692.2,"(11429, 5520)",lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-2-cd31.png,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-3-Pro-SPC.png,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-2-cd31.csv,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-3-Pro-SPC.csv
55,12692.2,"(11429, 5520)",lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-2-cd31.png,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-4-cc10.png,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-2-cd31.csv,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-4-cc10.csv
56,12692.2,"(11429, 5520)",lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-2-cd31.png,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-6-ki67.png,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-2-cd31.csv,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-6-ki67.csv
57,12101,"(10639, 5766)",lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-3-Pro-SPC.png,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-4-cc10.png,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-3-Pro-SPC.csv,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-4-cc10.csv
58,12101,"(10639, 5766)",lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-3-Pro-SPC.png,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-6-ki67.png,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-3-Pro-SPC.csv,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-6-ki67.csv
59,12452.3,"(11084, 5675)",lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-4-cc10.png,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-6-ki67.png,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-4-cc10.csv,lung-lobes_3/scale-100pc/29-040-U-35W-Izd1-6-ki67.csv
60,12711.8,"(11426, 5571)",lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-1-HE.png,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-2-cd31.png,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-1-HE.csv,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-2-cd31.csv
61,12711.8,"(11426, 5571)",lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-1-HE.png,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-3-Pro-SPC.png,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-1-HE.csv,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-3-Pro-SPC.csv
62,12711.8,"(11426, 5571)",lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-1-HE.png,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-4-cc10.png,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-1-HE.csv,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-4-cc10.csv
63,12711.8,"(11426, 5571)",lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-1-HE.png,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-6-ki67.png,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-1-HE.csv,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-6-ki67.csv
64,12655.8,"(11426, 5442)",lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-2-cd31.png,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-3-Pro-SPC.png,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-2-cd31.csv,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-3-Pro-SPC.csv
65,12655.8,"(11426, 5442)",lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-2-cd31.png,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-4-cc10.png,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-2-cd31.csv,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-4-cc10.csv
66,12655.8,"(11426, 5442)",lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-2-cd31.png,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-6-ki67.png,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-2-cd31.csv,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-6-ki67.csv
67,12417,"(11084, 5597)",lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-3-Pro-SPC.png,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-4-cc10.png,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-3-Pro-SPC.csv,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-4-cc10.csv
68,12417,"(11084, 5597)",lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-3-Pro-SPC.png,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-6-ki67.png,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-3-Pro-SPC.csv,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-6-ki67.csv
69,12760.4,"(11429, 5675)",lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-4-cc10.png,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-6-ki67.png,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-4-cc10.csv,lung-lobes_4/scale-100pc/29-040-U-35W-Izd2-6-ki67.csv
70,37568.3,"(11782, 35673)",mammary-gland_1/scale-100pc/s1-39-HE_A4926-4L.png,mammary-gland_1/scale-100pc/s1_36-CNEU_A4926-4L.png,mammary-gland_1/scale-100pc/s1-39-HE_A4926-4L.csv,mammary-gland_1/scale-100pc/s1_36-CNEU_A4926-4L.csv
71,37568.3,"(11782, 35673)",mammary-gland_1/scale-100pc/s1-39-HE_A4926-4L.png,mammary-gland_1/scale-100pc/s1_37-HE_A4926-4L.png,mammary-gland_1/scale-100pc/s1-39-HE_A4926-4L.csv,mammary-gland_1/scale-100pc/s1_37-HE_A4926-4L.csv
72,37568.3,"(11782, 35673)",mammary-gland_1/scale-100pc/s1-39-HE_A4926-4L.png,mammary-gland_1/scale-100pc/s1_38-ER-A4962-4L.png,mammary-gland_1/scale-100pc/s1-39-HE_A4926-4L.csv,mammary-gland_1/scale-100pc/s1_38-ER-A4962-4L.csv
73,37568.3,"(11782, 35673)",mammary-gland_1/scale-100pc/s1-39-HE_A4926-4L.png,mammary-gland_1/scale-100pc/s1_40-PR_A4926-4L.png,mammary-gland_1/scale-100pc/s1-39-HE_A4926-4L.csv,mammary-gland_1/scale-100pc/s1_40-PR_A4926-4L.csv
74,35241.6,"(10319, 33697)",mammary-gland_1/scale-100pc/s1_36-CNEU_A4926-4L.png,mammary-gland_1/scale-100pc/s1_37-HE_A4926-4L.png,mammary-gland_1/scale-100pc/s1_36-CNEU_A4926-4L.csv,mammary-gland_1/scale-100pc/s1_37-HE_A4926-4L.csv
75,35241.6,"(10319, 33697)",mammary-gland_1/scale-100pc/s1_36-CNEU_A4926-4L.png,mammary-gland_1/scale-100pc/s1_38-ER-A4962-4L.png,mammary-gland_1/scale-100pc/s1_36-CNEU_A4926-4L.csv,mammary-gland_1/scale-100pc/s1_38-ER-A4962-4L.csv
76,35241.6,"(10319, 33697)",mammary-gland_1/scale-100pc/s1_36-CNEU_A4926-4L.png,mammary-gland_1/scale-100pc/s1_40-PR_A4926-4L.png,mammary-gland_1/scale-100pc/s1_36-CNEU_A4926-4L.csv,mammary-gland_1/scale-100pc/s1_40-PR_A4926-4L.csv
77,37135.5,"(10319, 35673)",mammary-gland_1/scale-100pc/s1_37-HE_A4926-4L.png,mammary-gland_1/scale-100pc/s1_38-ER-A4962-4L.png,mammary-gland_1/scale-100pc/s1_37-HE_A4926-4L.csv,mammary-gland_1/scale-100pc/s1_38-ER-A4962-4L.csv
78,37135.5,"(10319, 35673)",mammary-gland_1/scale-100pc/s1_37-HE_A4926-4L.png,mammary-gland_1/scale-100pc/s1_40-PR_A4926-4L.png,mammary-gland_1/scale-100pc/s1_37-HE_A4926-4L.csv,mammary-gland_1/scale-100pc/s1_40-PR_A4926-4L.csv
79,36746.4,"(8768, 35685)",mammary-gland_1/scale-100pc/s1_38-ER-A4962-4L.png,mammary-gland_1/scale-100pc/s1_40-PR_A4926-4L.png,mammary-gland_1/scale-100pc/s1_38-ER-A4962-4L.csv,mammary-gland_1/scale-100pc/s1_40-PR_A4926-4L.csv
80,39449.5,"(11782, 37649)",mammary-gland_2/scale-100pc/s2_61-HE_A4926-4L.png,mammary-gland_2/scale-100pc/s2_62-ER_A4926-4L.png,mammary-gland_2/scale-100pc/s2_61-HE_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_62-ER_A4926-4L.csv
